course_code,course_name,units,description
CMSC 214,Programming Language Design Concepts,3,"Formal language theory, principles, and techniques of compiler construction, programming language design concepts, parallelism, and formal semantics. 3 hrs (class). Prerequisite: CMSC 124 and CMSC 141 or COI. Offered during Second Semester."
CMSC 215,Advanced Computer Systems,3,"Recent developments in computer architecture and computer systems. 3 hrs (class). Prerequisite: CMSC 125 and CMSC 131 or COI. Offered during First Semester."
CMSC 227,Advanced Database Systems,3,"Conceptual design of a database; models for conceptual design; database management, security and recovery; database languages. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during First Semester."
CMSC 241,Formal Languages, Automata Theory and Computations,3,"Finite automata and regular expressions; context-free languages; Turing machines; undecidability. 3 hrs (class). Prerequisite: CMSC 141 or COI. Offered during First Semester."
CMSC 244,Algorithms and Advanced Data Structures I,3,"Design, analysis, and implementation of algorithms; use of advanced data structures in algorithm design. 3 hrs (class). Prerequisite: CMSC 142 or COI. Offered during First Semester."
CMSC 245,Algorithms and Advanced Data Structures II,3,"Advanced topics in algorithmic graph theory, efficient polynomial and matrix algorithms; number theoretic algorithms, string processing and computational geometry; design and analysis of parallel algorithms; theory of NP-completeness and approximation algorithms. 3 hrs (class). Prerequisite: CMSC 244. Offered during Second Semester."
CMSC 250,Scientific Computing,3,"Principles, methodology, and tools of scientific computing. 3 hrs (class). Prerequisite: MATH 28 or MATH 38 or COI. Offered during First Semester."
CMSC 265,Advanced Digital Image Processing,3,"Theories, applications, recent advances, and open problems in digital image processing. 5 hrs (2 class, 3 lab). Prerequisite: CMSC 165 or COI. Offered during Second Semester."
CMSC 271,Management Information Systems,3,"Computer-based methodologies for the design and development of management information systems. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during First Semester."
CMSC 272,Management Information Systems,3,"Information engineering concepts and tools for strategic systems planning and development. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during Second Semester."
CMSC 280,Parallel Processing,3,"Parallel machine models; design, analysis, and implementation of parallel algorithms. 3 hrs (class). Prerequisite: CMSC 132 or COI. Offered during Second Semester."
CMSC 290,Special Problems,1-3,"May be taken twice provided that the total number of units to be credited to the student’s program will not exceed 4 units. Prerequisite: COI. Offered during First Semester and Second Semester."
CMSC 291,Special Topics,1-3,"May be taken twice provided that the total number of units to be credited to the student’s program will not exceed 4 units. Prerequisite: COI. Offered during First Semester and Second Semester."
CMSC 299,Graduate Seminar,1,"May be taken twice. Offered during First and Second Semester."
CMSC 300,Master’s Thesis,6,"Supervised individual research work culminating in a written thesis and oral defense. Prerequisite: COI. Offered during First Semester, Second Semester, and Midyear."
